url,price,address,descrip,listed_since,zip_code,size,year,living_area,kind_of_house,building_type,num_of_rooms,num_of_bathrooms,layout,energy_label,insulation,heating,ownership,exteriors,parking,neighborhood_name,date_list,date_sold,term,price_sold,last_ask_price,last_ask_price_m2,photo,city,log_id
https://www.funda.nl/huur/amsterdam/huis-43705381-zomerstraat-4/?old_ldp=true,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6 november 2024,€ 3.900 eenmalig,Onbepaalde tijd,na,na,na,,amsterdam,202411-2117-5709
https://www.funda.nl/huur/amsterdam/appartement-43639790-tweede-atjehstraat-8-d/?old_ldp=true,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,17 september 2024,€ 2.300 eenmalig,Onbepaalde tijd,na,na,na,,amsterdam,202411-2117-5709
https://www.funda.nl/huur/amsterdam/appartement-43618717-van-heenvlietlaan-160/?old_ldp=true,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3 september 2024,€ 4.800 eenmalig,Tijdelijke verhuur,na,na,na,,amsterdam,202411-2117-5709
https://www.funda.nl/huur/amsterdam/huis-43531969-monte-adi-16/?old_ldp=true,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,17 juni 2024,€ 4.300 eenmalig,Tijdelijke verhuur,na,na,na,,amsterdam,202411-2117-5709
https://www.funda.nl/huur/amsterdam/huis-43524103-kantershof-459/?old_ldp=true,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,12 juni 2024,€ 3.500 eenmalig,Tijdelijke verhuur,na,na,na,,amsterdam,202411-2117-5709
https://www.funda.nl/huur/amsterdam/huis-43522124-kalfjeslaan-400/?old_ldp=true,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,11 juni 2024,€ 5.000 eenmalig,Tijdelijke verhuur,na,na,na,,amsterdam,202411-2117-5709
https://www.funda.nl/huur/amsterdam/huis-43525351-gooise-kant-138/?old_ldp=true,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5 juni 2024,€ 5.500 eenmalig,Tijdelijke verhuur,na,na,na,,amsterdam,202411-2117-5709
https://www.funda.nl/huur/amsterdam/appartement-43503356-sarphatistraat-474-1/?old_ldp=true,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,27 mei 2024,€ 4.200 eenmalig,Onbepaalde tijd,na,na,na,,amsterdam,202411-2117-5709
https://www.funda.nl/koop/amsterdam/appartement-43509023-barentszstraat-230/?old_ldp=true,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,24 mei 2024,€ 7.787,€ 1.850 per maand (geen servicekosten),na,na,na,,amsterdam,202411-2117-5709
https://www.funda.nl/huur/amsterdam/huis-43596948-professor-jh-gunningstraat-18/?old_ldp=true,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13 mei 2024,€ 5.000 eenmalig,Tijdelijke verhuur,na,na,na,,amsterdam,202411-2117-5709
https://www.funda.nl/huur/amsterdam/appartement-43584521-plantagekade-18-pp/?old_ldp=true,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9 mei 2024,€ 5.500 eenmalig,Tijdelijke verhuur,na,na,na,,amsterdam,202411-2117-5709
https://www.funda.nl/huur/amsterdam/huis-43564288-eva-besnyostraat-583/?old_ldp=true,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,24 april 2024,€ 5.400 eenmalig,Tijdelijke verhuur,na,na,na,,amsterdam,202411-2117-5709
https://www.funda.nl/koop/amsterdam/appartement-43418419-minervalaan-72-hs/?old_ldp=true,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14 maart 2024,€ 12.766,€ 6.000 per maand (geen servicekosten),na,na,na,,amsterdam,202411-2117-5709
https://www.funda.nl/huur/amsterdam/huis-43483954-barkentijnkade-125/?old_ldp=true,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,20 februari 2024,€ 6.800 eenmalig,Tijdelijke verhuur,na,na,na,,amsterdam,202411-2117-5709
https://www.funda.nl/huur/amsterdam/huis-43480110-apollolaan-30/?old_ldp=true,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15 februari 2024,€ 12.000 eenmalig,Onbepaalde tijd,na,na,na,,amsterdam,202411-2117-5709
